Bin	Contig	GC	Length	Coverage	Lineage	Completeness	Contamination	Strain.heterogeneity
001	k141_183	31.39284174213023	2319	5718.1765	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_184	32.689210950080515	1242	7290.379999999999	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_17374	43.97406857767711	12803	3422.0105	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_6470	38.40518885921404	52420	4930.1745	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_19570	39.684701556062514	58738	4846.00165	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_17441	43.67895280744058	2903	3457.95885	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10935	39.002538450052256	20091	4877.85485	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13008	39.83483451810914	94814	4770.7742	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_19602	38.67843306069737	32522	4769.2984	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2338	39.02338026374467	94182	4873.74785	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10989	33.93074336409816	27954	5062.9491	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10997	41.14954221770091	1966	6296.5555	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13031	36.02199816681943	6546	5176.3525	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_17572	39.22244094488189	2032	5998.155000000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11033	39.422047805922226	2803	2329.7763	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8808	39.89397346358316	134306	4849.0144	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_19685	43.464924511014615	25103	3690.7344000000003	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2386	43.84205937686413	43586	3265.39795	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13056	33.93752410335519	5186	4737.86575	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11097	36.45425418298327	2809	5643.8733	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4422	44.404125832166635	34999	3226.74575	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4429	36.95364238410596	1510	5326.16435	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13114	35.534816941852114	1393	4800.6593	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4484	36.64239172096589	2609	5752.48935	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_304	34.888807874589865	10972	5309.30995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8876	37.376348920863315	8896	4730.1222	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4531	43.61198738170347	3804	2256.75475	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2440	55.869797225186765	1874	4237.81235	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8903	38.00883214551178	22871	4894.6425	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13288	44.21713917525773	12416	3624.7147	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_344	38.14966264567573	48910	4943.7356	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_19783	38.65370665892935	34465	4672.96245	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_17638	38.1413434648424	89753	4779.35245	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4614	37.227931488801055	18975	6219.4482499999995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_17755	32.24950232249502	1507	5456.860000000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2553	39.97220935618342	2159	5311.4770499999995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13321	35.10887772194305	2985	10852.7265	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_444	43.87883743909503	29349	3299.7295000000004	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_17758	39.05287058060331	21581	4989.64775	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_19868	38.14922225151595	3793	5133.1782	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13334	43.96630299682364	36205	3621.7021999999997	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4695	42.505720823798626	1748	4874.4787	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_507	40.63155136268344	22896	4870.6644	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4753	48.67226890756303	2975	5021.9909	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4792	34.440227703984824	1054	7288.373299999999	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4796	37.63132760267431	3141	5085.253650000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15404	39.54550809629154	76393	4739.0427	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_9214	32.79650170648464	9376	5114.0967	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15407	40.29677043933663	3437	2143.847	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_6706	31.673306772908365	1506	5651.6693	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2670	38.5815005787646	47515	5717.39385	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20008	38.55692663059996	49353	4748.0459	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20017	41.24313186813187	2912	4584.398450000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_539	36.725261127488444	54954	5057.74735	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11303	39.2783913090399	55598	4908.5915	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2730	33.17843866171003	1076	10521.43865	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_6763	38.92904953145917	14940	4859.130999999999	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13476	43.12413474850023	4334	6161.40775	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4803	39.357603396760496	101744	4719.0249	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13510	31.675190581877832	20726	6773.4803	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_9264	38.5301293405969	149605	4716.5535	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_18201	31.827600497306257	2413	5566.317999999999	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4952	43.71610593376507	18993	3723.0837	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4970	33.34784501523727	2297	5623.288500000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2828	38.22020354949954	23778	4614.542	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11478	40.14502307185234	101639	4898.1079500000005	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_18314	37.789203084832906	1167	4033.2605	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13606	38.96751618968038	38296	4894.4873	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13621	30.81800887761573	3154	5243.59345	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11566	43.57142857142857	4480	2188.26025	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15603	43.58151476251604	1558	6019.69715	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_921	35.97621407333994	1009	5127.0309	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11639	42.57558042425254	5987	1906.24781	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4977	38.95547628158444	162026	4721.18765	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_4985	38.196125907990314	3304	6525.9794999999995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15656	35.4249547920434	5530	5243.1018	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_951	46.15747289014615	4242	3509.2343499999997	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20290	40.541516245487365	2770	4798.518099999999	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20304	46.075803981623274	5224	3582.67285	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_9748	35.48850574712644	1392	4573.87765	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20306	37.08226221079691	1556	5711.8135	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2940	38.352463109908356	234277	4629.94695	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_18594	33.26987148976678	2101	5114.6925	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_18619	38.97978825794033	4156	5193.3142	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13688	43.88927882084576	45592	3319.55685	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_9775	44.576291501857845	8343	3606.47155	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_11729	38.54770954190838	14997	4711.6067	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_9827	42.071011580055504	10449	4749.51785	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2950	39.93656472692821	169937	5040.34225	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_1311	41.50537634408602	2790	2190.20503	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_5091	35.4020979020979	1144	28773.9225	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_9927	39.30131004366812	1374	6493.5237	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_13949	38.81749276601727	85361	4839.0162	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20741	38.323746918652425	6085	4975.068499999999	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_20768	32.29268292682927	2050	5477.16	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_7216	41.74973226789686	24278	1931.3177	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_1551	39.67796292829058	26705	4675.7111	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10250	38.34866356454929	46205	4997.6187	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10361	36.99750485167729	14428	5029.69865	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_10409	30.843043180260455	5836	5282.05255	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15911	40.74298548967878	28049	4926.4596	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15929	32.45560318432334	1633	8449.46865	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_7358	40.02346390236215	57109	5268.2705	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_1743	45.78824737382513	50644	3295.6863	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_15974	44.44984533804684	22630	3225.03015	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_14301	37.06349206349206	1260	15796.790500000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_1848	44.60388382883657	11638	3107.8839	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_16099	42.89149383829275	3327	2061.90465	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12104	37.967045718264096	4309	4733.3437	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_14558	42.97520661157025	1331	4936.677	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_21445	36.617492096944154	1898	25758.835	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_21491	44.54496110005428	5527	3709.43165	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_1962	39.788382895938376	50374	5012.3472	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12183	32.979214780600465	2165	5151.638800000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_5507	44.73787628703922	12723	4420.1171	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_7533	35.44444444444444	1800	10492.11075	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_16171	38.63683798591182	76660	4815.96245	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_16172	37.619361211722094	6074	4701.7983	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_16201	36.0932077342588	2017	16201.868	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12184	39.66963579550612	77127	4959.3022	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12261	32.559456398641	1766	6745.5298	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_5675	37.870370370370374	1080	4647.58335	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_2145	34.12083656080558	2582	5061.4355	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12405	37.634598411297446	5665	5677.9637999999995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_16259	37.541507809617514	16262	4975.15135	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_5765	39.35200505399958	33241	4884.1003	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3294	40.48592304940984	39142	4800.906	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3304	39.250434053762795	16703	4855.96035	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12656	45.067801116724276	7522	3581.1245	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_7689	39.551962858727585	97358	4990.112	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_5992	36.67563930013459	1486	9832.1595	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12674	38.59011911735989	25605	5014.5828	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_12725	38.65535578627501	23694	4865.4397500000005	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_6201	40.79028879907962	67798	4950.9753	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3520	37.40232817732419	12542	1863.8789	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_8128	36.59025150233697	4493	4917.24065	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3606	33.641975308641975	1620	8415.863150000001	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3613	39.59344428916275	39355	4672.6091	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3645	40.86522180833051	11812	4512.1957999999995	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3744	39.58579539350264	121003	5056.05135	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
001	k141_3826	38.74857731288277	36902	4752.16345	cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Tissierellia;;;	87.72	26.00	0.00
002	k141_19	46.47292598112271	4026	2919.8833999999997	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_8678	42.98382889932186	7668	1292.7467000000001	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_10783	49.3492972410203	1921	1870.8740500000001	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_19390	44.53735435229609	14590	1219.665765	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_15128	46.22966535845891	33379	2523.69925	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_10893	45.43328748280605	7270	2901.4836999999998	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_8794	45.25500322788896	4647	2694.04885	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_17416	43.670323154461904	3373	2359.301	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_17431	43.14404432132964	1444	1237.7511749999999	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_17498	46.03448275862069	1160	3140.0841	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_234	43.86792452830189	3392	2015.59115	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_8830	44.03815580286168	3145	2882.3109	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_8832	46.666666666666664	1455	502.320685	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_8835	45.4172366621067	5117	1989.74795	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_11064	44.14735591206179	1683	1416.46119	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_11067	43.99014778325123	2030	2040.38168	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_295	45.37940155397586	12098	2675.0284	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_4485	46.58119658119658	1170	1494.0784	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_13141	47.80058651026393	1364	480.173805	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_13200	47.283018867924525	2650	1417.6242	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_4515	44.39124487004104	1462	1592.1738	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
002	k141_2470	45.604395604395606	1274	2114.4034500000002	cellular organisms;Bacteria;Coprothermobacterota;Coprothermobacteria*;Coprothermobacterales*;Coprothermobacteraceae*;;	25.32	0.00	0.00
