KO	EC	Pathway	Brite	KO_Name
K25316	5.1.1.10	ko00470;ko00310;ko00270;ko00260		racX, ygeA; amino-acid racemase
K25317	5.1.1.10	ko00470;ko00310;ko00270;ko00260		alr, bsrV; amino-acid racemase
K25314	2.7.7.30;2.7.1.52	ko00520		FKGP, fkp; fucokinase / fucose-1-phosphate guanylyltransferase
K25315	2.7.1.-;2.7.7.30;2.7.7.-;2.7.1.52	ko00520		AFKP80; arabinokinase / fucokinase / arabinose-1-phosphate guanylyltransferase / fucose-1-phosphate guanylyltransferase
K20841	3.1.21.8		ko03200	denA; Escherichia phage deoxyribonuclease II
K20840			ko02000	SLC46A3; MFS transporter, PCFT/HCP family, solute carrier family 46, member 3
K20843	2.4.1.-		ko01003	GALT2S; hydroxyproline O-galactosyltransferase 2/3/4/5/6
K20842	3.1.21.9		ko03200	denB; Escherichia phage deoxyribonuclease IV
K20845	3.2.1.32			txyA; endo-1,3-beta-xylanase
K20844	3.2.1.55	ko00520		abf1; non-reducing end alpha-L-arabinofuranosidase
K20847	3.2.1.94			g2d; glucan 1,6-alpha-isomaltosidase
K20846	3.2.1.83			cgkA; kappa-carrageenase
K20849	3.2.1.154			6-FEH; fructan beta-(2,6)-fructosidase
K20848	3.2.1.153			1-FEH; fructan beta-(2,1)-fructosidase
K07176				K07176; putative serine/threonine protein kinase
K07177			ko01002	K07177; Lon-like protease
K07175				phoH2; PhoH-like ATPase
K07172			ko02048	mazE, chpAI; antitoxin MazE
K07173	4.4.1.21	ko02024;ko00270;ko02026;ko05111		luxS; S-ribosylhomocysteine lyase
K07171	3.1.-.-		ko02048	mazF, ndoA, chpA; mRNA interferase MazF
K07178	2.7.11.1	ko03008	ko03009;ko01001	RIOK1; RIO kinase 1
K07179	2.7.11.1	ko03008	ko03009;ko01001	RIOK2; RIO kinase 2
K19315	2.7.1.95		ko01504	aph3-XV; aminoglycoside 3'-phosphotransferase XV
K19317	3.5.2.6	ko01501	ko01504	blaBEL; beta-lactamase class A BEL
K19316	3.5.2.6	ko01501	ko01504	blaIMI; beta-lactamase class A IMI
K19311	3.1.1.-			lipV; lipase
K19310		ko02010	ko02000	bcrB; bacitracin transport system permease protein
K18231		ko02010	ko01504;ko02000	msr, vmlR; macrolide transport system ATP-binding/permease protein
K18230		ko02010	ko01504;ko02000	tylC, oleB, carA, srmB; macrolide transport system ATP-binding/permease protein
K18233		ko02010	ko01504;ko02000	oleC5; oleandomycin transport system permease protein
K18232		ko02010	ko01504;ko02000	oleC4; oleandomycin transport system ATP-binding protein
K18235	4.2.99.-		ko01504	vgb; virginiamycin B lyase
K19313	2.3.-.-		ko01504	apmA; aminocyclitol acetyltransferase
K18237	5.3.1.29	ko00030		K18237; ribose 1,5-bisphosphate isomerase
K18236			ko01504	lnuB_F, lin; lincosamide nucleotidyltransferase B/F
K18239	3.3.2.13	ko00400		fkbO, rapK; chorismatase
K14544		ko03008	ko03009	UTP22, NOL6; U3 small nucleolar RNA-associated protein 22
K24540			ko03036	PRKRA; interferon-inducible double-stranded RNA-dependent protein kinase activator A
K24541	1.14.-.-	ko00380	ko00199	CYP71P1; tryptamine 5-hydroxylase
K24542			ko00199	CYP81D; cytochrome P450 family 81 subfamily D
K24543			ko00199	CYP97B3; cytochrome P450 family 97 subfamily B polypeptide 3
K24544			ko00199	CYP714C; cytochrome P450 family 714 subfamily C
K24545			ko03200;ko03210	F; Avulavirus fusion glycoprotein F0
K24546	3.1.1.53		ko03200	HE; Betacoronavirus hemagglutinin-esterase
K24547			ko03200;ko03210	F; Henipavirus fusion glycoprotein F0
K24548			ko03200;ko03210	F; Respirovirus fusion glycoprotein F0
K24549			ko03200;ko03210	F; Rubulavirus fusion glycoprotein F0
K23008	3.4.22.-		ko01002;ko04121	USPL1; SUMO-specific isopeptidase USPL1
K23009	3.4.17.-		ko01002	CPO; carboxypeptidase O
K26038	2.4.1.-	ko00965		AMASY1; amaranthin synthetase
K26039	1.17.4.1		ko03200	nrdA; Escherichia phage ribonucleoside-diphosphate reductase subunit alpha
K23000			ko03110	TOR3A, ADIR; torsin-3A
K23001			ko03110	TOR1AIP; torsin-1A-interacting protein
K23002			ko03021	RPAP3; RNA polymerase II-associated protein 3
K23003	1.1.1.-	ko00053		lgaA; L-galactose dehydrogenase
K23004	3.1.1.-	ko00053		lgaB; L-galactono-1,5-lactonase
K23005	1.1.1.414	ko00053		lgaC; L-galactonate 5-dehydrogenase
K23006	1.14.19.-	ko01040		FAD3; omega-3 fatty acid desaturase (Delta-15 desaturase)
K23007	1.1.1.414	ko00053		lgoD; L-galactonate 5-dehydrogenase
K14932			ko03009;ko03100	snR85; small nucleolar RNA snR85
K14933			ko03009;ko03100	snR86; small nucleolar RNA snR86
K14930			ko03009;ko03100	snR83; small nucleolar RNA snR83
K14931			ko03009;ko03100	snR84; small nucleolar RNA snR84
K14936			ko03009;ko03100	snR191; small nucleolar RNA snR191
K14937	1.14.14.128;1.14.14.127	ko00981	ko00199	CYP15A1_C1; methyl farnesoate epoxidase / farnesoate epoxidase
K14934			ko03009;ko03100	snR161; small nucleolar RNA snR161
K14935			ko03009;ko03100	snR189; small nucleolar RNA snR189
K14938	1.14.19.21	ko04212;ko00981		NVD, DAF36; cholesterol 7-desaturase
K14939		ko00981	ko00199	SPO, SPOK, CYP307A; cytochrome P450 family 307 subfamily A
K18909			ko03000;ko01504	mepR; MarR family transcriptional regulator, repressor for mepA
K18908			ko01504;ko02000	mepA; multidrug efflux pump
K18907			ko03000;ko01504	norG; GntR family transcriptional regulator, regulator for abcA and norABC
K18906			ko03000;ko01504	mgrA; MarR family transcriptional regulator, multiple gene regulator MgrA
K18905			ko03000	ameR, rmiR; TetR/AcrR family transcriptional regulator, repressor of the ameABC operon
K18904			ko02000	nodT, ameC; outer membrane protein, multidrug efflux system
K18903			ko01504;ko02000	oprC, opcM; outer membrane protein, multidrug efflux system
K18902			ko01504;ko02000	bpeF; multidrug efflux pump
K18901			ko01504;ko02000	bpeE; membrane fusion protein, multidrug efflux system
K18900			ko03000;ko01504	bpeT; LysR family transcriptional regulator, regulator for bpeEF and oprC
K20063			ko04131	RIM8, ART9; arrestin-related trafficking adapter 9
K20062			ko04131	ART4_5_7; arrestin-related trafficking adapter 4/5/7
K20061			ko04131	ALY1_2, ART3_6; arrestin-related trafficking adapter 3/6
K20060			ko04131	ECM21, CSR2, ART2_8; arrestin-related trafficking adapter 2/8
K20067			ko04131	STON1_2; stonin-1/2
K20066			ko04990;ko04131	SH3BP4; SH3 domain-binding protein 4
K20065			ko04131	SGIP1; SH3-containing GRB2-like protein 3-interacting protein 1
K20064		ko04150	ko04131	GRB10; growth factor receptor-bound protein 10
K20069			ko04131	NECAP1_2; adaptin ear-binding coat-associated protein 1/2
K20068			ko04131	REPS; RalBP1-associated Eps domain-containing protein
K12428			ko01004	fadD32; fatty acid CoA ligase FadD32
K12429			ko01004	fadD36; fatty acid CoA ligase FadD36
K12422	6.2.1.-		ko01004	fadD10; long chain fatty acid CoA ligase FadD10
K12423			ko01004	fadD21; fatty acid CoA ligase FadD21
K12420	1.1.1.-	ko00253;ko01056	ko01008;ko01004	actIII, oxyJ, snoaD, aknA; ketoreductase
K12421			ko01004	fadD9; fatty acid CoA ligase FadD9
K12426	6.2.1.59		ko01004	fadD26; long-chain fatty acid adenylase/transferase FadD26
K12427	6.2.1.49		ko01004	fadD28; long-chain fatty acid adenylyltransferase FadD28
K12424	6.2.1.50		ko01004	fadD22; 4-hydroxybenzoate adenylyltransferase
K12425	6.2.1.57		ko01004	fadD23; long-chain fatty acid adenylase/transferase FadD23
K16509				spxA; regulatory protein spx
K16501			ko04515	CDHR1, PCDH21; cadherin-related family member 1
K16500			ko03037;ko04515	PCDH15, USH1F; protocadherin-15
K16503			ko04515	CDHR3, CDH28; cadherin-related family member 3
K16502			ko04515	CDHR2, PCDH24, PCLKC; cadherin-related family member 2
K16505			ko04515	CDHR5, MUCDHL; cadherin-related family member 5
K16504			ko04515	CDHR4, CDH29; cadherin-related family member 4
K16507		ko04391;ko04392	ko04515	DCHS1_2, PCDH16_23; protocadherin-16/23
K16506			ko04515;ko04147	FAT1_2_3; protocadherin Fat 1/2/3
K21330		ko00523		calS4; C-S lyase
K21331	1.1.1.-	ko00523		calS8, atmS8; dTDP-alpha-D-glucose dehydrogenase
K21332	1.1.1.-	ko00523		calS9, atmS9; dTDP-alpha-D-glucuronic acid decarboxylase
K21333	4.2.1.-	ko00523		calS14, atmS14; dTDP-4-oxo-alpha-D-xylose 2,3-dehydratase
K08991	3.1.22.-	ko03440;ko03460	ko03400	MUS81; crossover junction endonuclease MUS81
K21335	2.1.1.-	ko00523		calS10, atmS10; dTDP-4-amino-2,4-dideoxy-beta-L-xylose N-methyltransferase
K21336	2.1.1.-	ko00523		mdpA4; C-methyltransferase
K21337		ko00523		mdpA5; aminotransferase
K21338	2.5.1.121	ko00405		ppzP; 5,10-dihydrophenazine-1-carboxylate 9-dimethylallyltransferase
K21339	2.5.1.122			SIRD; 4-O-dimethylallyl-L-tyrosine synthase
K08999				K08999; uncharacterized protein
K08998				K08998; uncharacterized protein
K23789	2.3.2.27		ko04121	RNF145; E3 ubiquitin-protein ligase RNF145
K23788	2.3.2.27		ko04121	TUL1, FLY1_2; transmembrane E3 ubiquitin-protein ligase
K23787	2.3.2.27		ko04121	DMA1_2; E3 ubiquitin-protein ligase DMA1/2
K23786	3.1.11.-		ko03032	exoA; 5'-3' exonuclease
K23785	2.7.11.1		ko01001	RCK2, CLK1; serine/threonine-protein kinase RCK2
K23784			ko04990	CNKSR3, CNK3; connector enhancer of kinase suppressor of Ras 3
K23783			ko04990	CNKSR1, CNK1; connector enhancer of kinase suppressor of Ras 1
K23782			ko04990	AFAP1L; actin filament associated protein 1-like
K23781			ko04990	ADAP, CENTA; Arf-GAP with dual PH domain-containing protein
K23780			ko04990	GAB3; GRB2-associated-binding protein 3
K04032	2.5.1.154	ko00860		eutT; ethanolamine utilization cobalamin adenosyltransferase
K04033			ko03000	eutR; AraC family transcriptional regulator, ethanolamine operon transcriptional activator
K04030				eutQ; ethanolamine utilization protein EutQ
K04031				eutS; ethanolamine utilization protein EutS
K18554	2.7.1.-		ko01504	cpt; chloramphenicol 3-O phosphotransferase
K18555			ko01504	qnr, mcbG; fluoroquinolone resistance protein
K19746	1.4.99.6	ko00470		dauA; D-arginine dehydrogenase
K19747	2.3.1.-			DCR; BAHD acyltransferase
K19744	1.4.1.25	ko00470		dauB; L-arginine dehydrogenase
K19745	1.3.1.-	ko00640		acuI; acrylyl-CoA reductase (NADPH)
K19742	1.5.1.49	ko00330		lhpI; 1-pyrroline-2-carboxylate reductase [NAD(P)H]
K19743	1.5.1.1	ko00310;ko00960;ko00330		lhpI; 1-piperideine-2-carboxylate/1-pyrroline-2-carboxylate reductase [NAD(P)H]
K19740			ko02000	CALHM3; calcium homeostasis modulator protein 3
K19741	1.14.-.-	ko00998		dcsA; Nomega-hydroxy-L-arginine synthase
K04035	1.14.13.81	ko00860		E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase
K19748		ko04115	ko04131	GORAB, SCYL1BP1; RAB6-interacting golgin
K19749			ko03000	RAI1; retinoic acid-induced protein 1
K23879			ko04131	GRN; progranulin
K23878			ko04131	AAGAB; alpha- and gamma-adaptin-binding protein p34
K23871	2.1.1.-			CGR; putative pectin methylesterase
K23870	2.1.1.-			QUA2, TSD2; putative pectin methyltransferase
K23873	4.2.3.205			sodD; sodorifen synthase
K23872	2.1.1.-			QUA3; putative homogalacturonan methyltransferase
K23875	6.2.1.60		ko01004	tmlU; marinolic acid---CoA ligase
K23874	5.4.99.67			cmlD, papB; 4-amino-4-deoxychorismate mutase
K23877				AXY4, AXY4L; xyloglucan O-acetyltransferase
K23876	5.6.1.9			hgdC, fldI, hadI, lcdC; (R)-2-hydroxyacyl-CoA dehydratese activating ATPase
K04199		ko04080;ko04916	ko04030	MC1R; melanocortin 1 receptor
K04198		ko04916;ko04022;ko04080;ko04926;ko04020;ko05200	ko04030	EDNRB; endothelin receptor type B
K09110			ko03000	LMYC, MYCL; L-myc proto-oncogene protein
K09111			ko03000	BMYC, MYCB; brain expressed myelocytomatosis oncogene
K09116	3.1.3.-			K09116; damage-control phosphatase, subfamily I
K09117				K09117; uncharacterized protein
K09114			ko03000	MXD, MAD; MAX dimerization protein
K09115			ko03000	MNT, ROX; MAX-binding protein
K04191		ko04062;ko04060	ko04050;ko04030;ko04090	CXCR6, CD186; C-X-C chemokine receptor type 6
K04190		ko04062;ko04061;ko04060	ko04030;ko04050;ko04090	CXCR5, BLR1, CD185; C-X-C chemokine receptor type 5
K04193		ko04062;ko04061;ko04060	ko04030;ko04050	XCR1; XC chemokine receptor 1
K04192		ko04062;ko04061;ko04060	ko04030;ko04050	CX3CR1; CX3C chemokine receptor 1
K04195		ko04971;ko04080;ko04020	ko04030	CCKBR; cholecystokinin B receptor
K04194		ko04080;ko04911;ko04972;ko04020	ko04030	CCKAR; cholecystokinin A receptor
K04197		ko04024;ko04022;ko04020;ko04080;ko04924;ko05200;ko04270	ko04030	EDNRA; endothelin receptor type A
K04196			ko04030	CCKLR; cholecystokinin-like receptor
K05822	2.3.1.89	ko00300		dapH, dapD; tetrahydrodipicolinate N-acetyltransferase
K05823	3.5.1.47	ko00300	ko01002	dapL; N-acetyldiaminopimelate deacetylase
K05820			ko02000	hcaT; MFS transporter, PPP family, 3-phenylpropionic acid transporter
K05821	2.6.1.58;2.6.1.28	ko00360;ko00400;ko00960;ko00350	ko01007	ARO9; aromatic amino acid aminotransferase II
K05826		ko00220;ko00300		lysW; alpha-aminoadipate/glutamate carrier protein LysW
K05827	6.3.2.43	ko00300		lysX; [lysine-biosynthesis-protein LysW]---L-2-aminoadipate ligase
K05824	1.1.1.87	ko00300		LYS12; homoisocitrate dehydrogenase
K05825	2.6.1.-	ko00300		LYSN; 2-aminoadipate transaminase
K05828	2.7.2.17;2.7.2.19	ko00220;ko00300		lysZ, argB; [amino group carrier protein]-L-2-aminoadipate/L-glutamate 6-kinase
K05829	1.2.1.103;1.2.1.106	ko00220;ko00300		lysY, argC; [amino group carrier protein]-6-phospho-L-2-aminoadipate/5-phospho-L-glutamate reductase
K14217		ko05160		IFIT1; interferon-induced protein with tetratricopeptide repeats 1
K14216	2.7.7.84	ko05164;ko05171;ko05160;ko05162;ko04621;ko05169;ko05168		OAS; 2'-5'-oligoadenylate synthetase
K14215	2.5.1.86	ko00900		E2.5.1.86; trans,polycis-decaprenyl diphosphate synthase
K14214			ko03000;ko03110	NFKBID; NF-kappa-B inhibitor delta
K14213	3.4.13.9		ko01002	PEPD; Xaa-Pro dipeptidase
K14212	3.4.23.-		ko01002	SPPL2C, IMP5; signal peptide peptidase-like 2C
K14211		ko04974		ELN; elastin
K14210		ko04974	ko04147;ko02000	SLC3A1, RBAT; solute carrier family 3 (neutral and basic amino acid transporter), member 1
K14219		ko00970	ko03100	tRNA-Arg; tRNA Arg
K14218		ko00970	ko03100	tRNA-Ala; tRNA Ala
K01347	3.4.21.72		ko01002;ko02000;ko02044	iga; IgA-specific serine endopeptidase
K01346	3.4.21.71	ko04972;ko04974	ko01002	CELA2; pancreatic elastase II
K01345	3.4.21.70	ko04972;ko04974	ko01002	CELA3; pancreatic endopeptidase E
K01344	3.4.21.69	ko04610	ko01002	PROC; protein C (activated)
K01343	3.4.21.68	ko05418;ko04371;ko05215;ko04610;ko05202	ko00536;ko01002	PLAT; tissue plasminogen activator
K01342	3.4.21.62		ko01002;ko03110	aprE; subtilisin
K01341	3.4.21.61		ko01002;ko03110	KEX2; kexin
K01340	3.4.21.59	ko05164	ko01002	E3.4.21.59; tryptase
K01349	3.4.21.75	ko03250	ko01002;ko04131;ko03110	FURIN, PCSK3; furin
K01348	3.4.21.73	ko04064;ko05205;ko05206;ko04610;ko05215;ko05202	ko00536;ko01002	PLAU; urokinase plasminogen activator
K02694		ko00195	ko00194	psaF; photosystem I subunit III
K02695		ko00195	ko00194	psaH; photosystem I subunit VI
K02696		ko00195	ko00194	psaI; photosystem I subunit VIII
K02697		ko00195	ko00194	psaJ; photosystem I subunit IX
K02690		ko00195	ko00194	psaB; photosystem I P700 chlorophyll a apoprotein A2
K02691		ko00195	ko00194	psaC; photosystem I subunit VII
K02692		ko00195	ko00194	psaD; photosystem I subunit II
K02693		ko00195	ko00194	psaE; photosystem I subunit IV
K02698		ko00195	ko00194	psaK; photosystem I subunit X
K02699		ko00195	ko00194	psaL; photosystem I subunit XI
K04443	2.7.11.1	ko04218;ko05167;ko04361;ko04010;ko04370;ko04625;ko04722;ko05203	ko01001	MAPKAPK2; mitogen-activated protein kinase-activated protein kinase 2
K04442	2.7.11.1	ko04010	ko01001	MAPKAPK5, PRAK; mitogen-activated protein kinase-activated protein kinase 5
K04441	2.7.11.24	ko05120;ko01522;ko05020;ko05022;ko05142;ko04114;ko05145;ko05133;ko04380;ko04068;ko04261;ko05418;ko04657;ko04658;ko04659;ko04670;ko05417;ko04750;ko05132;ko04935;ko05170;ko05171;ko04361;ko04933;ko04932;ko04728;ko05235;ko04611;ko04613;ko05135;ko05014;ko05208;ko04912;ko05152;ko05205;ko04917;ko05169;ko05130;ko04914;ko04071;ko04015;ko04139;ko04013;ko04010;ko04011;ko05131;ko05161;ko04936;ko04550;ko04668;ko05140;ko04664;ko04660;ko04714;ko04218;ko05415;ko05167;ko04926;ko05163;ko04370;ko04621;ko04620;ko04212;ko04622;ko04625;ko04624;ko04722;ko04723	ko01001	P38; p38 MAP kinase
K04440	2.7.11.24	ko05120;ko01522;ko05020;ko05022;ko04723;ko05142;ko05145;ko04660;ko05133;ko05012;ko04664;ko04380;ko04068;ko05167;ko05200;ko04657;ko04658;ko04659;ko05417;ko04024;ko04140;ko04141;ko05132;ko04935;ko05170;ko05171;ko04931;ko04361;ko04933;ko05162;ko05231;ko04728;ko05415;ko05212;ko05210;ko05010;ko05135;ko04750;ko05208;ko05016;ko04912;ko05152;ko04910;ko04917;ko05169;ko05130;ko04914;ko04930;ko04071;ko04014;ko04012;ko04013;ko04010;ko05418;ko04137;ko05131;ko04391;ko05161;ko04936;ko04668;ko05017;ko04310;ko04625;ko04210;ko04215;ko04530;ko04920;ko05166;ko04926;ko04932;ko04510;ko04621;ko04620;ko04212;ko04622;ko04214;ko04624;ko04722;ko04217	ko01001	JNK; mitogen-activated protein kinase 8/9/10 (c-Jun N-terminal kinase)
K04447	2.7.10.2	ko05140;ko05145;ko04062;ko04630;ko04658;ko04659;ko05417;ko04920;ko04935;ko04933;ko05235;ko05152;ko04917;ko01521;ko04550;ko04151;ko05164;ko05167;ko05161;ko04725;ko05207;ko05200;ko05168;ko04217	ko01001	JAK2; Janus kinase 2
K04446		ko05321;ko04380;ko04650;ko04658;ko04659;ko05417;ko04024;ko04022;ko05170;ko05166;ko04933;ko05235;ko05135;ko04010;ko04310;ko04660;ko04662;ko04218;ko05167;ko04921;ko05161;ko05163;ko04625	ko03000	NFATC1, NFAT2, NFATC; nuclear factor of activated T-cells, cytoplasmic 1
K04445	2.7.11.1	ko04668;ko05131;ko04261;ko04010;ko04713;ko05200;ko05206;ko04722;ko05219	ko01001	RPS6KA5, MSK1; ribosomal protein S6 kinase alpha-5
K04444	2.7.11.1	ko04010;ko04370	ko01001	MAPKAPK3; mitogen-activated protein kinase-activated protein kinase 3
K04449		ko04928;ko04380;ko04010;ko04657	ko03000	JUND; transcription factor jun-D
K04448		ko05120;ko01522;ko05323;ko05142;ko05321;ko05140;ko05171;ko05133;ko04380;ko05200;ko04657;ko04658;ko04659;ko05417;ko04024;ko05130;ko05170;ko05166;ko04933;ko04932;ko05231;ko05208;ko05235;ko05211;ko05210;ko05135;ko05031;ko05030;ko04912;ko05162;ko05132;ko05169;ko04915;ko05131;ko04210;ko04012;ko04013;ko04010;ko05418;ko04137;ko05161;ko04310;ko05224;ko04668;ko04214;ko04660;ko04662;ko04530;ko05167;ko04921;ko04926;ko04510;ko04621;ko04620;ko05207;ko04625;ko04624;ko04722;ko05203	ko03000	JUN; transcription factor AP-1
K05310	2.7.-.-	ko00563		PIGG, GPI7; ethanolamine phosphate transferase 2 subunit G
K05311			ko03000	cggR; central glycolytic genes regulator
K05312			ko04040	CHRNN; nicotinic acetylcholine receptor, invertebrate
K05313			ko04040	GRIN; glutamate receptor, ionotropic, invertebrate
K03879	7.1.1.2	ko05010;ko05012;ko05020;ko05014;ko05022;ko05016;ko05415;ko05208;ko00190;ko04714;ko04723	ko03029	ND2; NADH-ubiquinone oxidoreductase chain 2
K03878	7.1.1.2	ko05010;ko05012;ko05020;ko05014;ko05022;ko05016;ko05415;ko05208;ko00190;ko04714;ko04723	ko03029	ND1; NADH-ubiquinone oxidoreductase chain 1
K03873		ko05170;ko04066;ko04120;ko05200;ko05211	ko03400;ko04121	ELOB, TCEB2; elongin-B
K03872		ko05170;ko04066;ko04120;ko05200;ko05211	ko03400;ko04121	ELOC, TCEB1; elongin-C
K03871		ko04066;ko04212;ko05200;ko04120;ko05211	ko04121	VHL; von Hippel-Lindau disease tumor supressor
K03870		ko04120;ko05200;ko04066;ko05211	ko04121	CUL2; cullin 2
K03877	2.4.1.-	ko00603;ko00601	ko01003	B3GALT5; beta-1,3-galactosyltransferase 5
K03876		ko04120	ko04121	MEL26; BTB domain ubiquitin protein ligase cofactor
K03875		ko05222;ko05169;ko04150;ko04110;ko04120;ko04068;ko05200;ko05203	ko04121	SKP2, FBXL1; F-box and leucine-rich repeat protein 1 (S-phase kinase-associated protein 2)
K03874	2.3.2.26		ko04121	HECT; other hect domain ubiquitin protein ligase E3
K06871				K06871; uncharacterized protein
K13298	3.1.4.35;3.1.4.17	ko04934;ko05032;ko00230		PDE11; dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11
K13299	2.5.1.18	ko05204;ko00480;ko04146;ko00980;ko00982		GSTK1; glutathione S-transferase kappa 1
K13296	3.1.4.17	ko04024;ko00230;ko04924;ko04910;ko04022;ko04914;ko04922;ko04923;ko04371;ko05032		PDE3B; cGMP-inhibited 3',5'-cyclic phosphodiesterase B
K13297	3.1.3.48		ko01009	PTPRT; receptor-type tyrosine-protein phosphatase T
K13294	3.1.4.53	ko00230		PDEB2, PDE2B; cAMP-specific phosphodiesterase
K13295	4.2.99.18		ko03400	APLF; aprataxin and PNK-like factor
K13292	2.5.1.145			lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase
K13293	3.1.4.53	ko04928;ko04024;ko05032;ko00230		PDE4; cAMP-specific phosphodiesterase 4
K13290	2.6.1.51	ko00260		K13290; serine---pyruvate transaminase
K13291	2.7.7.52			TUT; terminal uridylyltransferase
K03259		ko01521;ko04910;ko04151;ko04150;ko04066;ko04211	ko03019;ko03012	EIF4E; translation initiation factor 4E
