target_id	1-T2A_S26_L005001.fastq_length	1-T2A_S26_L005001.fastq_eff_length	1-T2A_S26_L005001.fastq_est_counts	1-T2A_S26_L005001.fastq_tpm	2-T2B_S37_L005001.fastq_length	2-T2B_S37_L005001.fastq_eff_length	2-T2B_S37_L005001.fastq_est_counts	2-T2B_S37_L005001.fastq_tpm	3-T2C2_S40_L005001.fastq_length	3-T2C2_S40_L005001.fastq_eff_length	3-T2C2_S40_L005001.fastq_est_counts	3-T2C2_S40_L005001.fastq_tpm	7-T4A_S44_L005001.fastq_length	7-T4A_S44_L005001.fastq_eff_length	7-T4A_S44_L005001.fastq_est_counts	7-T4A_S44_L005001.fastq_tpm	8-T4B_S45_L005001.fastq_length	8-T4B_S45_L005001.fastq_eff_length	8-T4B_S45_L005001.fastq_est_counts	8-T4B_S45_L005001.fastq_tpm	9-T4C_S46_L005001.fastq_length	9-T4C_S46_L005001.fastq_eff_length	9-T4C_S46_L005001.fastq_est_counts	9-T4C_S46_L005001.fastq_tpm	13-T6A_S30_L005001.fastq_length	13-T6A_S30_L005001.fastq_eff_length	13-T6A_S30_L005001.fastq_est_counts	13-T6A_S30_L005001.fastq_tpm	14-T6B2_S31_L005001.fastq_length	14-T6B2_S31_L005001.fastq_eff_length	14-T6B2_S31_L005001.fastq_est_counts	14-T6B2_S31_L005001.fastq_tpm	15-T6C_S32_L005001.fastq_length	15-T6C_S32_L005001.fastq_eff_length	15-T6C_S32_L005001.fastq_est_counts	15-T6C_S32_L005001.fastq_tpm
k141_10032_1_3314_-	3306	2635.23	1	0.02035	3306	2470	1	0.0412685	3306	2415.65	2	0.13198	3306	3116.1	0	0	3306	2685.47	1	0.0204922	3306	3107.39	0	0	3306	3096.21	0	0	3306	3116.76	0	0	3306	2847.38	1	0.0358689
k141_10032_3392_3526_+	132	23.1204	0	0	132	21.8401	0	0	132	23.8053	0	0	132	24.0377	0	0	132	25.7646	0	0	132	30.1853	0	0	132	25.2845	0	0	132	29.2613	0	0	132	29.6878	0	0
k141_10043_1_2451_-	2445	2924.25	5	0.0916934	2445	2853.71	21	0.750109	2445	2928.23	11	0.598822	2445	3329.52	12	0.244143	2445	3215.46	4	0.0684582	2445	3209.74	12	0.225473	2445	3162.38	4	0.119077	2445	3387.48	7	0.172469	2445	2259.81	0	0
k141_10043_2580_3515_+	933	1214.9	2	0.0882822	933	1213.7	2	0.167971	933	738.655	0	0	933	1436.42	2	0.094318	933	1363.13	2	0.0807421	933	1335.51	4	0.180632	933	1239.91	2	0.151853	933	1345.36	3	0.186113	933	1426.23	1	0.0716099
k141_10043_3525_4862_+	1332	1691.83	1	0.0316976	1332	1653.85	4	0.246535	1332	1670.68	1	0.0954152	1332	1142.1	0	0	1332	1746.03	3	0.0945537	1332	1133.39	0	0	1332	1122.21	0	0	1332	1785.22	1	0.046752	1332	1868.04	2	0.109347
k141_10043_5005_7124_+	2112	3438.89	8	0.124754	2112	3284.39	15	0.465535	2112	3291.26	11	0.532771	2112	3773.23	3	0.0538584	2112	3686.27	4	0.0597148	2112	3654.13	3	0.0495131	2112	3530.48	5	0.133327	2112	3820.92	6	0.131061	2112	3970.31	2	0.0514479
k141_10043_7217_7375_+	156	33.5494	0	0	156	33.0149	2	6.17498	156	35.3793	1	4.50568	156	34.947	0	0	156	36.6706	0	0	156	39.8843	0	0	156	34.351	0	0	156	38.1447	0	0	156	38.7505	0	0
k141_10043_7460_7999_+	537	321.761	1	0.166666	537	314.661	4	1.29579	537	317.905	2	1.00287	537	340.612	5	0.994387	537	331.5	2	0.332013	537	333.782	1	0.180684	537	328.816	6	1.71783	537	351.697	5	1.18657	537	365.535	5	1.39702
k141_10043_8121_8783_+	660	561.373	13	1.24186	660	561.836	28	5.08	660	538.942	27	7.98604	660	574.028	24	2.8322	660	554.384	38	3.77209	660	570.385	30	3.17202	660	596.165	12	1.89494	660	635.177	23	3.02221	660	647.236	17	2.68256
k141_10043_8977_9129_+	150	30.6004	0	0	150	29.817	0	0	150	32.1058	0	0	150	31.3988	0	0	150	33.3539	0	0	150	36.6002	0	0	150	31.2756	0	0	150	35.0593	0	0	150	35.6389	0	0
k141_10075_1134_3444_-	2304	2087.21	0	0	2304	2097.96	0	0	2304	2109.65	0	0	2304	2114.1	0	0	2304	2106.46	0	0	2304	2105.39	0	0	2304	2094.21	0	0	2304	2114.76	0	0	2304	2118.81	0	0
k141_10075_3558_3776_-	210	63.0734	0	0	210	65.3117	0	0	210	68.3317	0	0	210	69.8852	0	0	210	70.4932	0	0	210	70.7204	0	0	210	64.4485	0	0	210	70.9272	0	0	210	71.6408	0	0
k141_10075_94_1101_-	1005	788.207	0	0	1005	798.962	0	0	1005	810.655	0	0	1005	815.103	0	0	1005	807.463	0	0	1005	806.391	0	0	1005	795.212	0	0	1005	815.756	0	0	1005	819.807	0	0
k141_10076_1_1077_-	1074	759.438	3	0.211841	1074	731.015	2	0.278881	1074	879.655	0	0	1074	797.144	2.34915	0.199627	1074	775.351	3.64508	0.258712	1074	769.507	3.40473	0.266841	1074	864.212	0	0	1074	884.756	0	0	1074	888.807	0	0
k141_10087_1_1126_+	1122	905.207	0	0	1122	915.962	0	0	1122	927.655	0	0	1122	932.103	0	0	1122	924.463	0	0	1122	972.902	1.10378	0.068422	1122	963.46	1	0.097712	1122	932.756	0	0	1122	987.994	1	0.103373
k141_10090_1112_2077_+	963	746.207	0	0	963	756.962	0	0	963	768.655	0	0	963	773.103	0	0	963	765.463	0	0	963	764.391	0	0	963	753.212	0	0	963	773.815	0	0	963	777.807	0	0
k141_10090_1_900_-	894	677.207	0	0	894	688.058	0	0	894	699.691	0	0	894	704.14	0	0	894	696.5	0	0	894	695.461	0	0	894	684.234	0	0	894	704.853	0	0	894	708.807	0	0
k141_10090_2103_2814_-	708	491.673	0	0	708	502.564	0	0	708	513.925	0	0	708	518.508	0	0	708	511.021	0	0	708	509.743	0	0	708	498.81	0	0	708	519.124	0	0	708	523.092	0	0
k141_10101_1_1481_-	1476	1505.78	11	0.391753	1476	1452.27	18	1.2634	1476	1433.64	12	1.3343	1476	1506.37	60	2.69814	1476	1488.44	111	4.10394	1476	1499.77	103	4.14187	1476	1503.66	59	3.69388	1476	1456.91	27	1.54676	1476	1517.45	24	1.61532
k141_10104_1_900_-	894	677.207	0	0	894	688.058	0	0	894	699.691	0	0	894	704.14	0	0	894	696.5	0	0	894	695.461	0	0	894	684.234	0	0	894	704.853	0	0	894	708.807	0	0
k141_10104_2004_2715_-	708	491.673	0	0	708	502.564	0	0	708	513.925	0	0	708	518.508	0	0	708	511.021	0	0	708	509.743	0	0	708	498.81	0	0	708	519.124	0	0	708	523.092	0	0
k141_10104_966_1978_+	1008	791.207	0	0	1008	801.962	0	0	1008	813.655	0	0	1008	818.103	0	0	1008	810.463	0	0	1008	809.391	0	0	1008	798.212	0	0	1008	818.756	0	0	1008	822.807	0	0
k141_10113_1_1015_-	1011	794.207	0	0	1011	804.962	0	0	1011	816.655	0	0	1011	821.103	0	0	1011	927.029	2.00698	0.11914	1011	812.391	0	0	1011	921.909	1.0027	0.102392	1011	821.756	0	0	1011	825.807	0	0
k141_10126_1_1566_-	1560	1347.39	4718.36	187.794	1560	1294.52	7167.2	564.361	1560	1259.94	7303.36	924.021	1560	1383.42	1783.66	87.3377	1560	1361.23	3169.34	128.129	1560	1374.02	2532.1	111.14	1560	1349.25	1522.02	106.196	1560	1386.98	709.452	42.6916	1560	1406.54	909.593	66.0479
k141_10139_1255_1350_-	93	13.6086	1	3.94065	93	10.8896	2	18.7212	93	13.206	2	24.1418	93	13.5408	1	5.00268	93	16.1049	2	6.8341	93	17.9612	4	13.431	93	16.7886	0	0	93	18.3885	0	0	93	18.2549	0	0
k141_10139_1_1228_-	1221	795.75	8	0.539132	1221	761.095	15	2.00895	1221	752.187	16	3.39082	1221	860.875	19	1.49506	1221	845.428	22	1.43204	1221	889.615	9	0.610132	1221	912.574	17	1.75373	1221	950.902	10	0.877719	1221	992.678	15	1.54328
k141_10145_13495_14100_-	603	229.704	5	1.1673	603	217.82	13	6.0836	603	219.796	4	2.90102	603	251.974	27	7.2586	603	235.258	37	8.65499	603	237.728	34	8.62544	603	243.397	38	14.6977	603	249.371	146	48.865	603	259.505	126	49.5893
k141_10145_14194_14370_-	174	43.0206	5	6.23268	174	43.0502	10	23.6778	174	45.7791	2	6.96423	174	46.1043	4	5.87712	174	47.5364	7	8.10363	174	49.8138	8	9.68554	174	43.9907	17	36.3806	174	48.5036	17	29.2527	174	49.315	21	43.4913
k141_10145_14606_15244_-	636	548.214	53	5.18451	636	522.165	91	17.7644	636	530.321	65	19.5382	636	626.731	34	3.67488	636	611.715	84	7.55682	636	606.569	80	7.95413	636	560.814	84	14.1007	636	688.496	163	19.7596	636	688.998	171	25.3478
k141_10145_15495_16196_-	693	399.628	34	4.56252	693	400.341	53	13.4946	693	415.548	30	11.5083	693	420.594	24	3.86539	693	408.938	47	6.32483	693	409.954	54	7.94405	693	414.802	162	36.7668	693	422.666	275	54.3033	693	447.975	176	40.1256
k141_10145_180_3065_-	2877	2131.19	81.017	2.03862	2877	2041.76	205	10.2344	2877	2023.9	170	13.3897	2877	2219.46	110	3.35731	2877	2162.38	208	5.29347	2877	2182.52	212	5.85816	2877	2190.65	232	9.97002	2877	2197.38	470	17.8519	2877	2272.96	387.496	17.4115
k141_10145_1_171_+	165	38.1129	0	0	165	37.7136	0	0	165	40.5202	1	3.93404	165	40.4652	0	0	165	41.9639	0	0	165	44.8185	3	4.03689	165	39.0651	1	2.40986	165	43.2572	4	7.71779	165	43.8969	1	2.32664
k141_10145_3079_13494_-	10407	6915.29	295	2.28767	10407	6590.4	455	7.03745	10407	6604.02	242	5.8414	10407	7627.08	408	3.62366	10407	7391.21	684	5.09271	10407	7423.9	669	5.43472	10407	7520.07	840	10.5157	10407	7635.45	1516	16.5713	10407	7852.53	1308.47	17.0183
k141_10181_1257_2246_+	987	971.24	3	0.165644	987	975.451	4	0.417994	987	792.655	0	0	987	956.252	13	0.920909	987	944.857	15.3598	0.894599	987	960.512	16.9017	1.06123	987	946.935	21.6506	2.15244	987	949.121	21.7045	1.90862	987	993.927	29.5345	3.03485
k141_10181_1_804_+	801	699.277	4	0.306755	801	672.223	4	0.606544	801	717.112	10	2.22292	801	817.483	19.2853	1.59806	801	775.733	53.6444	3.80558	801	751.923	23.6307	1.89534	801	695.56	47.1842	6.38622	801	737.792	35.2454	3.98713	801	808.707	27.1136	3.4242
k141_10181_2262_2926_+	663	624.279	1	0.085902	663	606.439	4	0.672339	663	614.359	2	0.518941	663	719.504	1	0.0941483	663	687.439	10	0.800524	663	682.002	16	1.41487	663	667.423	2.00447	0.282735	663	730.938	2	0.228371	663	774.36	2.00982	0.26508
k141_10181_823_972_+	147	29.2537	0	0	147	28.3232	0	0	147	30.6339	0	0	147	29.9135	0	0	147	31.8174	1	1.72959	147	35.3238	0	0	147	29.9638	1	3.14184	147	33.7328	0	0	147	34.3578	0	0
k141_10182_110_301_+	189	51.2206	0	0	189	52.1592	0	0	189	55.043	0	0	189	55.7095	0	0	189	57.0051	0	0	189	58.3061	0	0	189	52.1247	0	0	189	57.5631	0	0	189	58.5849	0	0
k141_10182_326_774_+	441	234.78	0	0	441	246.875	0	0	441	254.71	0	0	441	258.26	0	0	441	253.83	0	0	441	251.763	0	0	441	242.674	0	0	441	258.567	0	0	441	261.227	0	0
k141_10182_787_933_+	144	27.8021	0	0	144	27.0612	0	0	144	29.1254	0	0	144	28.4574	0	0	144	30.3368	0	0	144	34.0489	0	0	144	28.8467	0	0	144	32.5893	0	0	144	33.1924	0	0
k141_10182_984_1191_+	204	59.5627	0	0	204	61.3911	0	0	204	64.4122	0	0	204	65.7363	0	0	204	66.5876	0	0	204	67.2066	0	0	204	60.956	0	0	204	66.9571	0	0	204	67.7227	0	0
k141_10194_1192_2062_-	861	644.229	0	0	861	655.058	0	0	861	666.691	0	0	861	671.175	0	0	861	663.517	0	0	861	662.461	0	0	861	651.279	0	0	861	671.87	0	0	861	675.807	0	0
k141_10194_1_169_+	165	38.1129	2	2.81411	165	37.7136	1.5682	4.23857	165	40.5202	4.30219	16.925	165	40.4652	0	0	165	41.9639	0	0	165	44.8185	0	0	165	39.0651	2	4.81973	165	43.2572	1	1.92945	165	43.8969	3.13336	7.2902
k141_10194_2077_3437_-	1350	1133.21	0	0	1350	1143.96	0	0	1350	1155.65	0	0	1350	1160.1	0	0	1350	1152.46	0	0	1350	1151.39	0	0	1350	1140.21	0	0	1350	1160.76	0	0	1350	1164.81	0	0
k141_10194_276_1064_-	786	569.308	0	0	786	580.138	0	0	786	591.846	0	0	786	596.266	0	0	786	588.641	0	0	786	587.582	0	0	786	576.358	0	0	786	596.902	0	0	786	600.85	0	0
k141_10196_1093_1183_-	87	13.2524	0	0	87	10.5195	0	0	87	12.5557	0	0	87	13.0158	0	0	87	15.0138	0	0	87	15.7997	0	0	87	15.5139	0	0	87	16.0627	0	0	87	16.2915	0	0
k141_10196_1_962_+	954	676.007	8.13264	0.645152	954	674.012	12.2726	1.85604	954	674.666	8.29416	1.95972	954	729.655	6.60309	0.613021	954	715.128	25.1596	1.93611	954	715.859	33.7348	2.84206	954	716.386	32.3887	4.25627	954	728.031	74.9512	8.59251	954	758.136	69.9956	9.42945
k141_10198_1_72_-	72	9.29333	0	0	72	8.93846	0	0	72	10.0098	0	0	72	7.43262	0	0	72	9.54373	0	0	72	8.62115	0	0	72	7.58228	0	0	72	7.53774	0	0	72	8.27634	0	0
k141_10198_2190_2773_+	579	364.363	0	0	579	592.688	1	0.171985	579	386.393	0	0	579	390.871	0	0	579	383.92	0	0	579	382.417	0	0	579	372.024	0	0	579	391.259	0	0	579	394.914	0	0
k141_10198_2810_3363_-	549	362.999	73.8118	10.9044	549	349.96	174.274	50.7609	549	355.43	193.424	86.7496	549	435.853	22.4616	3.49097	549	412.206	38.2178	5.10223	549	405.662	22.2778	3.312	549	374.938	61.3387	15.4013	549	404.564	26.3188	5.42963	549	423.342	33.4994	8.08182
k141_10198_831_2152_-	1314	1681.96	23	0.73332	1314	1656.33	45	2.76937	1314	1613.05	46	4.54591	1314	1722.05	10	0.39337	1314	1673.42	20	0.65771	1314	1687.85	8	0.285851	1314	1612.93	20	1.16733	1314	1636.41	15	0.765052	1314	1717.31	6	0.356833
k141_10198_91_828_+	735	663.099	8	0.646983	735	639.399	9	1.43478	735	672.028	14	3.32086	735	782.228	8	0.692791	735	764.632	7	0.503795	735	771.926	4	0.312512	735	742.426	11	1.39483	735	781.401	11	1.17493	735	849.345	6	0.721489
k141_1024_11152_11814_-	660	326.212	4.03531	0.663375	660	308.52	9.33807	3.08524	660	466.317	0	0	660	397.124	7.97314	1.36003	660	369.126	20.9448	3.12255	660	362.928	23.0805	3.83539	660	338.078	2.06898	0.576131	660	372.166	3.2471	0.7282	660	385.224	12.8313	3.40188
k141_1024_1460_1684_-	222	70.3493	0	0	222	73.3275	0	0	222	76.3583	0	0	222	77.9857	0	0	222	78.6639	0	0	222	78.2545	0	0	222	71.9287	0	0	222	78.9307	0	0	222	79.6519	0	0
k141_1024_1865_3273_+	1398	1181.21	0	0	1398	1191.96	0	0	1398	1203.65	0	0	1398	1208.1	0	0	1398	1200.46	0	0	1398	1199.39	0	0	1398	1188.21	0	0	1398	1208.76	0	0	1398	1212.81	0	0
k141_1024_1_94_-	90	13.3997	0	0	90	10.6144	0	0	90	12.7785	0	0	90	13.4431	0	0	90	15.7399	0	0	90	17.3471	0	0	90	16.3197	0	0	90	17.4958	0	0	90	17.3745	0	0
k141_1024_228_1337_+	1107	890.207	0	0	1107	900.962	0	0	1107	912.655	0	0	1107	917.103	0	0	1107	909.463	0	0	1107	908.391	0	0	1107	897.212	0	0	1107	917.756	0	0	1107	921.807	0	0
k141_1024_3365_5134_+	1758	1541.21	0	0	1758	1551.96	0	0	1758	1563.65	0	0	1758	1568.1	0	0	1758	1560.46	0	0	1758	1559.39	0	0	1758	1548.21	0	0	1758	1568.76	0	0	1758	1572.81	0	0
k141_1024_5146_6685_+	1536	1319.21	0	0	1536	1329.96	0	0	1536	1341.65	0	0	1536	1346.1	0	0	1536	1338.46	0	0	1536	1337.39	0	0	1536	1326.21	0	0	1536	1346.76	0	0	1536	1350.81	0	0
k141_1024_6722_7132_+	408	206.055	0	0	408	217.405	0	0	408	225.11	0	0	408	227.956	0	0	408	224.297	0	0	408	222.195	0	0	408	213.334	0	0	408	228.247	0	0	408	230.464	0	0
k141_1024_7170_8024_+	852	635.229	0	0	852	646.058	0	0	852	657.724	0	0	852	662.175	0	0	852	654.517	0	0	852	653.461	0	0	852	642.279	0	0	852	662.887	0	0	852	666.807	0	0
k141_1024_8027_11105_+	3063	2846.21	0	0	3063	2856.96	0	0	3063	2868.65	0	0	3063	2873.1	0	0	3063	2865.46	0	0	3063	2864.39	0	0	3063	2853.21	0	0	3063	2873.76	0	0	3063	2877.81	0	0
k141_10250_10379_11689_-	1302	1668.99	983	31.5851	1302	1670.38	401	24.4706	1302	1654.9	173	16.6642	1302	1779.67	328	12.4847	1302	1739.08	382	12.088	1302	1736.94	299	10.3817	1302	1687.5	96	5.35562	1302	1704.99	72	3.52454	1302	1806.22	42	2.37488
k141_10250_12012_12287_+	273	103.129	11	5.71999	273	108.661	6	5.6285	273	112.982	2	2.82183	273	115.609	8	4.68751	273	115.148	6	2.8675	273	112.919	9	4.80682	273	106.117	4	3.54859	273	115.34	1	0.723619	273	116.482	1	0.876809
k141_10250_12386_13507_+	1119	834.125	827	53.1687	1119	812.87	418	52.4168	1119	827.899	140	26.9563	1119	923.968	536	39.2965	1119	888.808	625	38.6973	1119	874.542	566	39.0318	1119	860.318	233	25.4964	1119	876.447	132	12.5701	1119	921.659	87	9.64077
k141_10250_13520_13627_+	105	15.0814	70	248.908	105	12.9402	18	141.79	105	15.3541	9	93.4391	105	15.9218	47	199.964	105	17.6732	59	183.716	105	21.5046	29	81.3298	105	19.2718	17	83.044	105	21.8682	11	41.9828	105	21.8644	7	32.6981
k141_10250_13968_15581_+	1608	1698.64	498	15.722	1608	1679.74	265	16.0812	1608	1641.2	151	14.6665	1608	1740.03	220	8.56471	1608	1716.11	289	9.26745	1608	1724.86	274	9.5803	1608	1704.93	94	5.19042	1608	1696.26	66	3.24746	1608	1795.21	44	2.50322
k141_10250_15651_16538_-	885	765.984	1193	83.5223	885	761.568	763	102.125	885	742.827	336	72.1044	885	818.44	964	79.7877	885	801.242	1062	72.9406	885	801.816	772	58.0665	885	769.365	327	40.0126	885	784.16	399	42.4678	885	813.153	225	28.26
k141_10250_16877_17901_+	1020	661.424	899	72.8889	1020	657.303	470	72.8866	1020	634.739	191	47.9676	1020	663.398	491	50.1364	1020	660.514	692	57.6544	1020	675.455	647	57.7685	1020	684.833	208	28.593	1020	670.86	138	17.1688	1020	705.779	113	16.3521
k141_10250_17911_19838_+	1923	1387.02	885	34.217	1923	1316.37	580	44.9122	1923	1304	211	25.7937	1923	1455.92	386	17.9595	1923	1407.14	675	26.3982	1923	1416.74	526	22.3913	1923	1405.45	240	16.076	1923	1417.77	140	8.24162	1923	1458.67	50	3.50088
k141_10250_19916_20659_+	741	566.934	583	55.1465	741	592.02	217	37.3628	741	597.712	88	23.4693	741	634.089	259	27.6691	741	634.776	333	28.869	741	660.873	283	25.8257	741	640.128	76	11.1771	741	720.536	69	7.99254	741	739.123	39	5.38903
k141_10250_1_586_+	582	226.048	75	17.7927	582	218.621	18	8.39261	582	222.716	14.9366	10.6908	582	242.095	100.108	28.0111	582	228.806	111.571	26.8344	582	229.977	91	23.8638	582	236.178	64.3302	25.6423	582	245.733	76.5971	26.0159	582	249.324	67	27.4457
k141_10250_20696_20848_+	150	30.6004	89	155.971	150	29.817	40	136.745	150	32.1058	15	74.4764	150	31.3988	31	66.8798	150	33.3539	64	105.595	150	36.6002	40	65.9112	150	31.2756	16	48.1611	150	35.0593	12	28.5673	150	35.6389	12	34.389
k141_10250_20932_22167_+	1233	979.038	10633	582.422	1233	975.67	700	73.1326	1233	976.165	314	51.2763	1233	1063.78	1181	75.2045	1233	1049.56	1383	72.5143	1233	1069.28	1727	97.4055	1233	1048.75	368	33.0338	1233	1058.85	331	26.0906	1233	1122.28	243	22.114
k141_10250_22577_22744_-	165	38.1129	29	40.8045	165	37.7136	17	45.9479	165	40.5202	5	19.6702	165	40.4652	72	120.53	165	41.9639	68	89.1746	165	44.8185	63	84.7747	165	39.0651	31	74.7058	165	43.2572	25	48.2362	165	43.8969	7	16.2865
k141_10250_22854_22957_+	99	14.2611	14	52.6449	99	11.6876	12	104.658	99	14.29	5	55.7762	99	14.3386	65	307.08	99	16.7341	26	85.5027	99	19.7056	22	67.3312	99	17.5896	18	96.3382	99	19.9847	14	58.4686	99	20.1685	7	35.4475
k141_10250_23011_23380_+	366	171.126	375	117.516	366	197.79	162	83.4884	366	191.436	69	57.4562	366	217.621	513	159.684	366	209.291	495	130.156	366	204.416	478	141.025	366	195.571	256	123.23	366	200.918	201	83.4967	366	213.44	99	47.372
k141_10250_23610_24326_+	711	502.34	104	11.1024	711	495.2	39	8.02786	711	498.962	14	4.47271	711	621.157	60	6.54328	711	602.545	88	8.03714	711	609.228	69	6.83049	711	608.288	27	4.17865	711	659.607	20	2.53067	711	701.621	9	1.31009
k141_10250_2426_5249_+	2817	2000.38	325	8.71268	2817	1924.71	90	4.76643	2817	1910.07	50	4.17284	2817	2067.15	133	4.35839	2817	2027.47	192	5.21141	2817	2049.67	150	4.41358	2817	2071.11	153	6.95455	2817	2108.82	46	1.82058	2817	2158.92	51	2.41266
k141_10250_24644_26198_+	1548	828.365	847	54.8332	1548	802.658	372	47.242	1548	799.133	131	26.1314	1548	855.057	681	53.9508	1548	829.608	638	42.321	1548	835.874	590	42.5691	1548	848.171	214	23.7526	1548	856.686	273	26.597	1548	867.502	152	17.8952
k141_10250_26275_26989_+	708	458.872	153	17.8806	708	450.597	49	11.0847	708	456.526	14	4.88846	708	525.463	115	14.8252	708	501.601	115	12.6168	708	504.517	83	9.92168	708	500.479	31	5.8312	708	500.219	29	4.83871	708	537.398	18	3.42089
k141_10250_27043_27126_+	81	12.1582	4	17.6431	81	10.4631	2	19.4843	81	12.1069	0	0	81	11.8017	8	45.9188	81	13.3394	5	20.6274	81	13.3582	5	22.5739	81	12.9827	2	14.5026	81	12.9713	1	6.43441	81	13.5561	0	0
